Tree_ID,Height_m,Mean_Height_m,Crown_Area_m2,Crown_Volume_m3,AGB_kg
91,54.0,22.463116,2.371932526633986,53.280994,2.6640499
92,59.0,22.368664,1.054732291556506,23.592953,1.1796477
93,62.0,16.46029,2.998939280600757,49.363415,2.468171
94,56.0,14.473464,3.4801305103892086,50.369545,2.5184772
95,56.0,20.60138,3.5238751676427045,72.59669,3.6298344
96,46.0,22.320225,1.730344220249383,38.621674,1.9310837
97,58.0,16.945993,2.7899370292784997,47.278255,2.3639128
98,47.0,24.157143,1.7011811154137193,41.095676,2.0547838
99,58.0,23.34091,0.8554510751794703,19.967007,0.9983503
100,60.0,22.493088,1.054732291556506,23.724186,1.1862093
101,57.0,18.62782,1.2928976477144267,24.083864,1.2041932
102,63.0,19.99119,1.1033374662826123,22.057028,1.1028514
103,73.0,20.327587,1.1276400536456654,22.922201,1.14611
104,58.0,19.225807,1.808112499811153,34.76242,1.738121
105,51.0,19.674797,1.1956872982622142,23.524904,1.1762452
106,58.0,22.915493,0.690193481110709,15.816124,0.79080623
107,62.0,19.116667,1.458155241783188,27.875069,1.3937534
108,55.0,19.205776,1.3463633399131436,25.857954,1.2928977
109,55.0,21.75,1.224850403097878,26.640497,1.3320249
110,63.0,21.579618,0.7631012431998684,16.467434,0.8233717
111,67.0,22.114286,0.5103543346241158,11.286121,0.5643061
112,90.0,23.429531,0.7242171034189834,16.968067,0.8484034
113,63.0,16.83158,2.3087457994900475,38.859837,1.9429919
114,53.0,17.370817,3.6308065520401382,63.070076,3.153504
115,58.0,22.491526,2.0073937161881887,45.14935,2.2574675
116,60.0,20.585585,1.0790348789195592,22.212564,1.1106282
117,50.0,17.712177,1.3172002350774799,23.330484,1.1665243
118,46.0,20.581633,2.381653561579207,49.01832,2.450916
119,56.0,21.825737,1.8129730172837637,39.569473,1.9784737
120,58.0,19.510416,0.9332193547412404,18.207499,0.91037494
121,49.0,23.554688,1.8664387094824808,43.963383,2.1981692
122,54.0,18.553846,1.8956018143181446,35.170704,1.7585353
123,87.0,18.150328,0.7436591733094259,13.497657,0.6748828
124,53.0,19.571428,1.5310630038723474,29.965092,1.4982547
125,89.0,19.788889,0.4374465725349564,8.656582,0.4328291
126,57.0,14.474806,2.5080270158670834,36.303207,1.8151604
127,53.0,19.43299,0.9429403896864617,18.324152,0.9162076
128,49.0,19.32967,1.326921270022701,25.64895,1.2824476
129,46.0,18.794312,2.2212564849830563,41.746986,2.0873494
130,49.0,18.9625,1.5553655912354005,29.49362,1.474681
131,46.0,16.234,2.4302587363053134,39.45282,1.972641
132,48.0,19.790565,2.576074260483632,50.981968,2.5490985
133,59.0,17.688889,1.3123397176048692,23.213833,1.1606916
134,71.0,20.742575,0.49091226473367333,10.182784,0.50913924
135,71.0,21.314686,0.6950539985833196,14.8148575,0.74074286
136,182.0,20.996376,1.341502822440533,28.166698,1.408335
137,69.0,20.622807,0.5540989918776115,11.427076,0.57135385
138,59.0,21.625767,0.7922643480355321,17.133324,0.8566662
139,62.0,20.568182,1.069313843974338,21.993841,1.0996921
140,61.0,21.276873,1.4921788640914624,31.748901,1.5874451
141,51.0,20.073172,1.1956872982622142,24.001236,1.2000618
142,68.0,20.11017,0.573541061768054,11.534008,0.5767004
143,57.0,24.530973,1.0984769488100017,26.946709,1.3473355
144,49.0,22.261364,0.8554510751794703,19.043509,0.95217544
145,63.0,22.293577,1.0595928090291167,23.622116,1.1811059
146,43.0,21.969177,1.419271102002303,31.18022,1.559011
147,49.0,21.188553,1.4435736893653561,30.587236,1.5293618
148,47.0,22.016129,0.9040562499055765,19.90382,0.99519104
149,59.0,18.445545,0.9818245294673467,18.110289,0.9055144
150,50.0,20.46025,1.1616636759539398,23.767931,1.1883966
151,48.0,22.618813,0.9818245294673467,22.207705,1.1103853
152,49.0,21.217712,1.3172002350774799,27.947975,1.3973988
153,63.0,23.258537,0.9964060818851785,23.174948,1.1587474
154,46.0,17.293413,1.6234128358519493,28.07435,1.4037175
155,68.0,21.297873,0.4568886424253989,9.730756,0.48653778
156,45.0,25.088785,1.0401507391386742,26.096119,1.304806
157,46.0,21.590406,1.3172002350774799,28.438889,1.4219445
158,70.0,16.011799,1.6477154232150024,26.382889,1.3191445
159,44.0,20.26936,1.4435736893653561,29.260315,1.4630158
160,66.0,20.897959,0.47633071231584145,9.95434,0.497717
